,control,profesor,clase,instancia,corte,curso
14,que hayan más actividades practicas de medicina como anatomía de superficie.,El profesor se ve influido por sus emociones y eso ha afectado a muchos compañeros.,que recomendaran la bibliografía según el temario porque hay libros que se contradicen ,me gusta tener dos pruebas por separado. ,,
15,mantener o aumentar la cantidad de seminarios clínicos,calificar el aporte del alumno en le practico y no para castigar.,la forma en la que pasaron los contenidos ayudaron a que fijáramos los conocimientos de mejor manera y aprendiéramos más. ,Más instancias que repasen anatomía clínica y se le de énfasis a ello.,,
16,"Interrogaciones por excusas como tener el pelo largo, no ponerse el gorro, etc. ",Que se mantenga el interés de los profesores por enseñar,Me gustaría que en materia teórica fueran establecidos con certeza durante las clases,Cabe destacar lo positivo de las instancias prácticas ya que la mayoría de las dudas se aclaran aquí.,,
17,Interrogaciones colaborativas al Dr. L y compañía.,Se deberían dar más instancias de poder revisar los materiales del práctico,Me gustaría que los temas que difieren en diferentes libros fueran establecidos con certeza durante las clases,"Muy buenas las instancias donde, sea a través de clínica, seminarios o ayudantías",,
18,"que las evaluaciones de las solemnes teóricas sean más parecidas a los controles, no solo alternativas.",que todos los profesores lleguen a un consenso con respecto a los contenidos para evitar ambigüedades. ,ser mas ordenados a la hora de dictar las clases teóricas,grabar practicos para poseer un mayor conocimiento de estructuras anatómicas.,,
19,Mayor cantidad de seminarios para profundizar la anatomía clínica.,que exista la posibilidad de poder grabar los prácticos. ,ojala las clases fueran más específicas para asi saber mas de la materia y entenderla mejor,"un poco más dirigido a casos clínicos, que es cuando se consolida el conocimiento (desde mi punto de vista).",,
20,"se deberían explicar de manera clara y completa, especialmente este ramo, anatomía, un ramo el cuál es base para todo lo que viene después.",Me gustaría que las mesas de práctico no sean de tantos alumnos ya que dificulta el aprendizaje,Más clases con el profesor R,Que se mantengan las yincanas de práctica. ,,
21,evitar una desigualdad en cuanto a lo que aprende cada estudiante. ,Mejor organización de los tiempos durante las estaciones de los prácticos.,"Por otra parte hubieron algunos temas, materia que se pasaron de manera muy superficial y rápida",que se adicionen en las pruebas de yincana más puestos de anatomia de superficie bien.,,
22,Quizás sería bueno el reducir un poco más la cantidad de personas por mesa,Muchas veces la cantidad de personas por mesa en un practico dificultó el poder ver lo que el profesor estaba explicando ,Las clases con los profesores K y G se van por las ramas en temas que ellos reconocen que no son tan importantes.,Que primero fueran las yincanas y despues las teoricas,,
23,Que los ppt tengan la informacion bien y sea coordinada la entrega de informacion,en algunos casos no se podían ver los prácticos. ,consenso con respecto a detalles de la materia que varían según autores (como lo son inervaciones o inserciones de ciertos músculos).,poder arrendar el material y así mejorar las posibilidades de aprender. ,,
24,son solo máximo 10 minutos de control. ,poder proyectar los prácticos en algún sector para que todos puedan ver lo que se está mostrando. ,esa ambigüedad generada genera ansiedad entre nosotros y es contraproducente con el estudio y el mismo aprendizaje.,Mantener las correcciones de las pruebas ,,
25,Sería ideal que los controles sean de salida,Que las interrogaciones y controles sean instancias en las que realmente podamos medir lo aprendido para el práctico. ,tener material audiovisual más ordenado/ o guías de materia para estudiar ,"organizar mejor las yincanas, práctica y de imagen ",,
26,a veces habían grupos muy grandes donde no se podía hacer mucho y otros grupos muy chicos. Podrían equilibrar eso,todo lo aprendido teóricamente lo refuerzo en los prácticos y aprendo mucho más en esa instancia que con imágenes solamente.,que haya uniformidad en los contenidos ,Encuentro muy bueno que se revisen las pruebas al tiro.,,
27,Darle un mayor énfasis al aspecto clínico de la anatomía,los profesores manejan la materia con suma claridad. Muy conforme por ese lado. ,Creo que deberían mandar los ppt antes de las clases,Cambiar: Forma de enseñar imagenologia ,,
28,mantener la corrección de solemnes y la de controles a final del semestre. ,Que se mantenga la participación de todos en los prácticos,que suban los ppt una media hora antes para tenerlo descargado antes de clases ,el material (cadáveres desgastados y fantomas con errores). ,,
29,"Me gustaria que cambiara el hecho de que para imagenologia, aparescan cortes del pabellon de anatomia",Mejorar puntualidad de profesores,También que las clases estén mejor organizadas de acuerdo a cantidad de materia y tiempo,"Que se mantenga el orden de las pruebas, primero teórica y después la yincana.",,
30,"Quizas seria mas util incluir solo examenes como radiografias, etc, resonancias e incluso incluir las angiografias",Más ayuda en los practicos,los últimos contenidos de cada clase casi ni los explicaban quedándonos con diapositivas sin ver.,buscaria una forma más didáctica de realizar videos.,,
31,Más ayuda imagenologia,Dinamica de practicos y yincana,"Creo que es muy importante que las clases teóricas las haga solo el profesor l o que haga él mas clases teóricas, ",En algunos casos podria haber mas coordinacion acerca de los horarios,,
32,Me gusto que tengamos el dia libre cuando la otra seccion tenia practico y al revez,más inversión en profesores doctores,Clases más claras y ordenado y sabe enfatizar en las cosas importantes ,Que se mantenga la separación de la prueba practica de la teorica,,
33,algo a mejorar podría ser modificar el horario de las ayudantías de pabellón abierto ,Que dejen a los alumnos grabar en el laboratorio,Sugerencia: explorar el uso de plataformas digitales (programas o aplicaciones) en clase,Que se mantengan las preparaciones de yincanas,,
34,"Promover plataformas electrónicas para aprender anatomia (morfo, imaios, simuladores, apps de atlas de anatomia, etc)",Organizar las ayundantías en un horario que sea apto para la mayoría (como el 1er semestre),Más organización en el tiempo de las clases para abarcar la materia de los prácticos que luego se evaluará. ,revisión después de realizar las yincanas,,
35,Con respecto a las ayudantías se podría mejorar la disponibilidad de horarios.,no hacer ayudantias luego de los practicos ,No me parece correcto preguntar materia diferente en los controles a la que se verá en el práctico,que existan revisiones de la yincana con fotos,,
36,subir las notas de solemnes y controles a tiempo. ,consenso entre los profesores porque en muchas instancias se contradecian entre ellos. ,Me gustó la dinámica de las clases,revisión con un comité de delegados inmediatamente posterior a la yincana,,
37,Ayudantia en horarios más comodos,La ausencia del profresor l durante el semestre se notó. ,"Me gusta también la cercanía que tienen para hablar y tirar la talla, da gusto ir a clases a así. ",en varias pruebas existió ambigüedad respecto a cosas que estaban mal pinchadas o no se entendían,,
38,Devolver pruebas y controles a tiempo,el profesor g mejoró sustancialmente su trato y disposición a enseñar con respecto al semestre anterior. ,Cambiar o definir com más precisión el libro del cual se deba estudiar y guiar para las solemnes.,las pruebas teóricas y prácticas hacerlas por separado creo que generaría una mejora en ambas pruebas ,,
39,mejorar la organización de las ayudantias,Me gustaría realmente que los profesores pudieran llegar a un consenso entre las definiciones y conceptos controversiales ,creo que no se debería incluir en los controles y paso práctico la clase realizada justo en el bloque anterior,Encuentro mejor hacer la yincana antes de la prueba teórica.,,
40,Arreglaría  las evaluaciones (sobre todo los controles de imagenología),Mantener el trabajo de cortes que se realizo en los últimos practicos del semestre. ,considero poco práctica la realización de una única hora de clases por día,Encuentro mejor hacer la yincana antes de la prueba teórica.,,
41,avisar con anticipación si hay eventual cambio de actividad,Mas trabajo con los ayudantes explicar con calma a los alumnos las dudas,que el profe letelier haga mas seguido las clases teoricas ,que nos puedan dar más material para estudiar para las evaluaciones prácticas. ,,
42,Que se respete el cronograma dado en un principio,La flexibilidad de los profesores y su buena disposicion,Me gustaria que el horario fuera clases y practico,,,
43,Mayor cantidad de actividades prácticas,Los seminarios y la particularidad que tiene cada profesor en enseñar en los prácticos. ,ser mas ordenados a la hora de dictar las clases teóricas,,,
44,Seria buena idea implementar lo de los videos a modo de repaso,Agradezco la preocupación por parte de los profesores respecto a la integridad total del alumno,la clase se vuelve tediosa y afecta en el aprendizaje del contenido que se esta viendo. (como sucedió con la materia de miembros),,,
45,Que manden los ppt con anticipación ,Mantener cerca los días del teórico con el práctico ,Las clases teóricas de 3 módulos no cunden mucho  ,,,
46,Un aspecto que me gustaría que se me mantuviera en este ramo son los videos que muestran intervenciones quirúrgicas.,Que se agregue una mesa mas en los practicos a fin ,responder dudas personales y un resumen de la clase anterior,,,
47,"Que nos entreguen los controles, que en este semestre no los entregaron todos. ",Agregar ayudantías opcionales con ojalá entrada al práctico,"me parece que en las clases en que falto más de la mitad del curso, se perjudicó de cierta forma a los alumnos que igual fueron a clases ",,,
48,realizar más ayudantías y seminarios.,Me gustaría destacar la buena disposición que los profesores tenían cada dia,no necesariamente premiar a los alumnos que van a clases (ya que es la obligación de cada uno) ,,,
49,Eliminar el sistema de videos ,que en los prácticos haya una mayor participación por parte de los profesores ,que en las evaluaciones se evalue lo visto en clases ,,,
50,Que las notas de los controles se manejará en un documento ordenado ,Que se mantenga la preocupación y constante disposición de los profesores en torno a las inquietudes de los alumnos,"Mantener ocasiones donde se aprende a relacionar conceptos anatomicos entre sí y con fenómenos clínicos, promueve motivacion.",,,
51,que se subieran periódicamente las notas para poder lleva un seguimiento de nuestro rendimiento ,la cercania de los profesores y su buena disposicion. ,incorporarlas en clase plataformas para aprender anatomia,,,
52,No realizar videos para explicar asignaturas,Me gusta mucho la cercanía de algunos profesoras y la preocupación de ayudarnos a entender las cosas. ,Ojalá el profesor l no se apareció en todo el semestre a clases,,,
53,"Que sigan las actividades practicas como pintar, dibujar en los compañeros y cosas divertidas! ","Es bueno que se mantenga un buen ambiente, como el uso de bromas y de respeto entre alumnos y docentes.",coordinación de inervaciones y fuentes ,,,
54,Me gustaría que se mantuviera que nos proporcionen una guía de autorregulación,Me gustaría que mejore el tema del aprendizaje en los prácticos .,"A veces los autores se contradicen en ciertos contenidos entre ellos y con los enseñados en clase, eso genera confusión y ansiedad.",,,
55,"El programa que nos mostraron en clínica de mmss, el cual después de la encuesta no se supo nada más","Fue un muy buen curso, los profesores son muy cercanos ","El practico en días diferentes a las clases teóricas, permite organizarse mucho mejor. ",,,
56,"Nada malo que decir, me encanta la u, la carrera, la dedicación de los profes y anato es bacán",Mantener la buena onda entre porfesores y alumnos. ,"las clases fueran un poco menos tediosas, esto especialmente enfocado a las que son de pared y estructura osea. ",,,
57,utilizar más el programa de complete anatomy,,Mas exigencia con la asistencia de clases. ,,,
58,Falta un poco de orden respecto a las notas y controles.,,"Profe l debe evaluar las clases de los otros profes, preguntarse, de verdad los alumnos les queda con lo que dicen?",,,
59,Haría mas actividades dinámicas como las de la estación 4,,que existiera un consenso de la bibliografía a utilizar para las evaluaciones,,,
60,,,Más clases con el profesor R,,,
61,,,profesor g no está capacitado para realizar clases teóricas,,,
62,,,"Clases teóricas divididas, no tres horas pedagógicas de clase.",,,
63,,,Sentí que las preparaciones de clases fueron pocas. ,,,
64,,,Mantuvieran la organización del curso con sus respectivas clases teóricas ,,,
65,,,mayor responsabilidad en el tema de los ppts,,,
66,,,Complementar las clases con videos,,,
67,,,Creo que se deberia tener mas instancias practicas ya que permiten fijarlos conocimientos de las clases teóricas ,,,
68,,,Mantener los videos como complemento a las clases,,,
69,,,"Para las yincanas, creo que faltan métodos para identificar y recordar los elementos enseñados en clases",,,
70,,,no implementar el sistema de videos en vez de clases ,,,
71,,,"Que no se hagan videos para pasar la materia, sino que hacer la clase correspondiente",,,
72,,,Mencionar materia o conceptos en clases o prácticos que posteriormente son evaluadas en solemnes,,,
73,,,sugerir cuál es la bibliografía más adecuada para la unidad,,,
74,,,Me gustó la dinámica de las clases,,,
75,,,Me gustaria que el horario fuera clases y practico,,,
76,,,que sigan los controles en prácticos porque ayuda a avanzar la materia y a entenderla bien en el mismo,,,
77,,,Mejoraría  el hecho de que en las clases teóricas se logre cubrir la clase completa en el tiempo estimado ,,,
78,,,que se suban los ppt antes del comienzo de las clases teóricas. ,,,
79,,,Sería bueno que en las clases teóricas los profes no se fueran tanto por las ramas,,,
80,,,Muchas veces clases de una hora aproximadamente terminaban siendo 3 horas,,,
81,,,"partir con puntualidad las clases sería muy bueno, que algunas veces partiamos más tarde de lo normal",,,
82,,,Creo que deberían mandar los ppt antes de las clases,,,
83,,,Creo que deberían hacer la clase de inervación de cabeza antes que las de músculos y anexos de cabeza,,,
84,,,Mejoraría las salas de las clases teóricas,,,
85,,,Que las clases sean un poco más ordenadas en cuanto a la organización de la materia ,,,
86,,,Mantener lo completa que son las clases y lo choros que son los prácticos. ,,,
87,,,Agregaría ayudantías para las materias que fueran mas difíciles y mas complicadas. ,,,
88,,,Cambiaria los controles de los dias miercoles en los que entraba materia pasada el lunes. ,,,
